iter	Passed	Remaining
0	59	59285
1	59	29802
2	60	19976
3	60	15047
4	60	12113
5	61	10141
6	61	8732
7	61	7675
8	62	6852
9	62	6199
10	63	5665
11	63	5216
12	63	4836
13	64	4517
14	64	4238
15	64	3990
16	65	3771
17	65	3575
18	65	3399
19	66	3240
20	66	3097
21	66	2968
22	67	2849
23	67	2740
24	67	2639
25	67	2546
26	68	2460
27	68	2380
28	68	2307
29	69	2239
30	69	2174
31	69	2114
32	70	2056
33	70	2004
34	70	1953
35	71	1907
36	71	1862
37	71	1819
38	72	1778
39	72	1740
40	72	1703
41	73	1667
42	73	1633
43	73	1600
44	73	1569
45	74	1540
46	74	1511
47	74	1483
48	75	1457
49	75	1432
50	75	1408
51	75	1384
52	76	1362
53	76	1341
54	76	1320
55	77	1299
56	77	1280
57	77	1261
58	77	1243
59	78	1225
60	78	1208
61	78	1192
62	79	1176
63	79	1161
64	79	1146
65	79	1131
66	80	1116
67	80	1103
68	80	1089
69	81	1076
70	81	1063
71	81	1051
72	81	1039
73	82	1027
74	82	1016
75	82	1005
76	82	994
77	83	983
78	83	973
79	83	963
80	84	953
81	84	944
82	84	933
83	84	924
84	85	915
85	85	907
86	85	898
87	85	890
88	86	882
89	86	874
90	86	866
91	87	858
92	87	851
93	87	843
94	87	836
95	88	829
96	88	822
97	88	815
98	88	808
99	89	801
100	89	795
101	89	788
102	89	782
103	90	775
104	90	769
105	90	763
106	90	757
107	91	752
108	91	746
109	91	740
110	91	735
111	92	730
112	92	724
113	92	719
114	92	714
115	93	709
116	93	704
117	93	699
118	93	694
119	94	689
120	94	684
121	94	679
122	94	675
123	95	671
124	95	666
125	95	662
126	95	657
127	95	653
128	96	649
129	96	645
130	96	641
131	96	637
132	97	633
133	97	630
134	97	626
135	98	622
136	98	618
137	98	615
138	98	611
139	99	608
140	99	604
141	99	600
142	99	597
143	99	594
144	100	590
145	100	587
146	100	584
147	100	581
148	101	577
149	101	574
150	101	572
151	102	569
152	102	566
153	102	563
154	102	560
155	103	557
156	103	554
157	103	552
158	103	549
159	104	547
160	104	543
161	104	541
162	104	538
163	105	535
164	105	533
165	105	530
166	105	527
167	106	525
168	106	522
169	106	520
170	106	517
171	107	515
172	107	513
173	107	510
174	107	508
175	108	506
176	108	503
177	108	501
178	108	499
179	109	496
180	109	494
181	109	492
182	109	490
183	110	488
184	110	486
185	110	484
186	110	482
187	111	479
188	111	477
189	111	476
190	111	473
191	112	471
192	112	469
193	112	468
194	112	465
195	113	464
196	113	462
197	113	460
198	113	458
199	114	456
200	114	454
201	114	452
202	114	450
203	115	448
204	115	447
205	115	445
206	115	443
207	116	441
208	116	440
209	116	438
210	116	436
211	117	435
212	117	433
213	117	431
214	117	430
215	118	428
216	118	426
217	118	425
218	118	423
219	119	422
220	119	420
221	119	418
222	119	417
223	119	415
224	120	414
225	120	412
226	120	411
227	120	409
228	121	408
229	121	406
230	121	405
231	121	403
232	122	402
233	122	400
234	122	399
235	122	397
236	123	396
237	123	394
238	123	393
239	123	392
240	124	390
241	124	389
242	124	387
243	124	386
244	124	385
245	125	383
246	125	382
247	125	381
248	125	379
249	126	378
250	126	377
251	126	376
252	126	374
253	127	373
254	127	372
255	127	371
256	127	370
257	128	368
258	128	367
259	128	366
260	129	365
261	129	364
262	129	362
263	129	361
264	130	360
265	130	359
266	130	358
267	130	357
268	131	356
269	131	355
270	131	354
271	131	352
272	132	351
273	132	350
274	132	349
275	132	348
276	133	347
277	133	346
278	133	345
279	133	344
280	134	343
281	134	342
282	134	341
283	135	340
284	135	339
285	135	338
286	135	337
287	135	336
288	136	335
289	136	334
290	136	333
291	136	332
292	137	331
293	137	330
294	137	329
295	137	328
296	138	327
297	138	326
298	138	325
299	138	324
300	139	323
301	139	322
302	139	321
303	139	320
304	140	319
305	140	318
306	140	317
307	140	316
308	141	315
309	141	314
310	141	313
311	141	312
312	142	311
313	142	310
314	142	310
315	142	309
316	143	308
317	143	307
318	143	306
319	143	305
320	144	304
321	144	304
322	144	303
323	144	302
324	145	301
325	145	300
326	145	299
327	145	299
328	146	298
329	146	297
330	146	296
331	146	295
332	147	294
333	147	294
334	147	293
335	147	292
336	148	291
337	148	291
338	148	290
339	149	289
340	149	288
341	149	287
342	149	287
343	150	286
344	150	285
345	150	284
346	150	283
347	151	283
348	151	282
349	151	281
350	151	280
351	151	279
352	152	278
353	152	278
354	152	277
355	152	276
356	153	275
357	153	275
358	153	274
359	153	273
360	154	272
361	154	272
362	154	271
363	154	270
364	155	269
365	155	269
366	155	268
367	155	267
368	156	266
369	156	266
370	156	265
371	156	264
372	157	263
373	157	263
374	157	262
375	157	261
376	158	261
377	158	260
378	158	260
379	159	259
380	159	258
381	159	258
382	159	257
